0 0
0 1
0 2
0 3
1 3
1 2
1 1
1 0
2 0
2 1
2 2
2 3
3 3
3 2
3 1
3 0
4 0
4 1
4 2
4 3
5 3
5 2
5 1
5 0
6 0
6 1
6 2
6 3
7 3
7 2
7 1
7 0
8 0
8 1
8 2
8 3
9 3
9 2
9 1
9 0
10 0
10 1
10 2
10 3
11 3
11 2
11 1
11 0
12 0
12 1
12 2
12 3
13 3
13 2
13 1
13 0
14 0
14 1
14 2
14 3
15 3
15 2
15 1
15 0
16 0
16 1
16 2
16 3
16 4
16 5
16 6
16 7
16 8
16 9
17 9
17 8
17 7
17 6
17 5
17 4
17 3
17 2
17 1
17 0
18 0
18 1
18 2
18 3
18 4
18 5
18 6
18 7
18 8
18 9
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
19 3
19 2
19 1
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 9
19 8
19 7
19 6
19 5
19 4
